Disease	Disease name	# genes in disgenet and network	# genes in network	# genes in total
C2750452	waardenburg syndrome, type 4c	1	1	1
C2750459	cardiomyopathy, familial hypertrophic, 15	1	1	1
C1837065	cd8 deficiency, familial	1	1	1
C4021621	absent fourth finger distal interphalangeal crease	1	1	1
C1858664	hemochromatosis, type 3	1	1	1
C3280296	microcephaly-capillary malformation syndrome	1	1	1
C4021902	short corpus callosum	1	1	1
C0262436	cardiac valvular dysplasia, x-linked	1	1	1
C3279660	deafness, autosomal recessive 29	1	1	1
C1863224	adenosine triphosphate, elevated, of erythrocytes	1	1	1
C1864873	testicular microlithiasis	1	1	2
C1864872	spondyloepimetaphyseal dysplasia, genevieve type	1	1	1
C1864871	chromosome 17q21.31 deletion syndrome	1	1	1
C0268301	reifenstein syndrome	1	1	1
C0342185	hyperthyroxinemia, familial dysalbuminemic	1	1	1
C2751807	emery-dreifuss muscular dystrophy 4	1	1	1
C3280742	systemic lupus erythematosus 16	1	1	1
C1785148	rapp-hodgkin syndrome	1	1	1
C1450051	autosomal recessive emery-dreifuss muscular dystrophy	1	1	1
C1847800	waardenburg syndrome type 1	1	1	1
C1855627	haim-munk syndrome	1	1	1
C1859133	rhizomelic chondrodysplasia punctata, type 1	1	1	1
C3278147	geleophysic dysplasia 1	1	1	1
C1291463	deficiency of phosphoserine phosphatase	1	1	1
C0265306	greig cephalopolysyndactyly syndrome	1	1	1
C1527338	hereditary cerebral amyloid angiopathy, icelandic type	1	1	1
C1861863	cardiomyopathy, familial hypertrophic, 3 (disorder)	1	1	1
C0265309	leri-weill dyschondrosteosis	1	1	1
C0265308	baller-gerold syndrome	1	1	1
C0016037	fibrodysplasia ossificans progressiva	1	1	1
C0878677	glycogen storage disease type iib	1	1	1
C0878676	6-pyruvoyl-tetrahydropterin synthase deficiency	1	1	1
C2674173	achondroplasia, severe, with developmental delay and acanthosis nigricans	1	1	1
C2674171	dwarfism, lethal micromelic	1	1	1
C4023731	4-5 finger syndactyly	1	1	1
C0020494	hyperostosis frontalis interna	1	1	1
C0020497	cortical congenital hyperostosis	1	1	1
C3810342	immunodeficiency 20	1	1	1
C0398568	blood group deletion syndrome	1	1	1
C0020725	type ii mucolipidosis	1	1	1
C0266432	leydig cell agenesis	1	1	1
C4025815	short diaphyses	1	1	1
C1956093	paris-trousseau thrombocytopenia	1	1	1
C1533041	primary congenital glaucoma	1	1	2
C2673257	epilepsy, progressive myoclonic 3	1	1	1
C1857041	ectodermal dysplasia, ectrodactyly, and macular dystrophy	1	1	1
C3889475	bardet-biedl syndrome 19	1	1	1
C1832378	retinitis pigmentosa 18	1	1	1
C1832370	myopathy, myofibrillar, desmin-related	1	1	1
C2749346	refsum disease, adult, 2	1	1	1
C0743072	depression, psychotic	1	1	1
C0267557	secretory diarrhea	1	1	1
C3151568	nephrotic syndrome, type 4	1	1	1
C0410214	myopathy with abnormal lipid metabolism	1	1	1
C3553709	myopathy, centronuclear, 4	1	1	1
C4012727	megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 1	1	1	1
C1708350	hereditary leiomyomatosis and renal cell cancer	1	1	1
C0162532	variegate porphyria	1	1	1
C0162531	hereditary coproporphyria	1	1	1
C0406584	acrogeria, gottron type	1	1	1
C1836076	amyotrophic lateral sclerosis, chmp2b-related	1	1	1
C2931923	hyperkeratosis of the palms and soles and esophageal papillomas	1	1	1
C0263449	perioral dermatitis	1	1	1
C1837475	insulin-like growth factor i deficiency	1	1	1
C0206042	fatal familial insomnia	1	1	1
C1865644	plantar lipomatosis, unusual facies, and developmental delay	1	1	1
C0265843	congenital atresia of aortic valve	1	1	1
C0002066	alkaptonuria	1	1	1
C0030486	paraplegia	1	1	4
C0027609	neonatal abstinence syndrome	1	1	1
C3279990	candidiasis, familial, 7	1	1	1
C1855102	methylmalonic aciduria cblb type	1	1	1
C1855100	methylmalonyl-coa epimerase deficiency	1	1	1
C1836823	nephropathy with pretibial epidermolysis bullosa and deafness	1	1	1
C0017689	glucagonoma	1	1	1
C4025139	fifth finger distal phalanx clinodactyly	1	1	1
C1861185	thrombocytopenia 2 (disorder)	1	1	1
C0220767	craniofrontonasal dysplasia	1	1	1
C4024984	diffuse leiomyomatosis	1	1	1
C0265514	dermatofibrosis lenticularis disseminata	1	1	1
C0796093	odontoonychodermal dysplasia	1	1	1
C1864112	huntington disease-like 1	1	1	1
C1843164	charcot-marie-tooth disease, demyelinating, type 1f	1	1	1
C0271933	congenital dyserythropoietic anemia, type i	1	1	1
C0271934	congenital dyserythropoietic anemia, type iii	1	1	1
C3810283	schwannomatosis 2	1	1	1
C3810289	spastic paraplegia 64, autosomal recessive	1	1	1
C4014492	epileptic encephalopathy, early infantile, 23	1	1	1
C3887939	mental retardation, x-linked 41	1	1	1
C3554518	cowden syndrome 5	1	1	1
C1864827	holoprosencephaly 5	1	1	1
C0023600	leydig cell hyperplasia	1	1	1
C0574080	guanidinoacetate methyltransferase deficiency	1	1	1
C0574083	3-methylglutaconic aciduria type 2	1	1	1
C0574084	3-methylglutaconic aciduria type 3	1	1	1
C1859309	syndactyly cenani lenz type	1	1	1
C0339864	bifid epiglottis	1	1	2
C0457013	weyers acrofacial dysostosis	1	1	2
C1832567	muscular dystrophy, limb-girdle, type 1c	1	1	1
C1292754	mediastinal (thymic) large b-cell lymphoma	1	1	1
C0030360	papillon-lefevre disease	1	1	1
C4015019	neu-laxova syndrome 2	1	1	1
C3809414	cortical dysplasia, complex, with other brain malformations 3	1	1	1
C1300268	brachydactyly syndrome type c	1	1	2
C1300267	brachydactyly syndrome type b	1	1	1
C1846058	lubs x-linked mental retardation syndrome	1	1	1
C4084823	myasthenic syndrome, congenital, 1a, slow-channel	1	1	1
C4084822	joubert syndrome 23	1	1	1
C4084821	charcot-marie-tooth disease, axonal, type 2u	1	1	1
C4014942	cataracts, growth hormone deficiency, sensory neuropathy, sensorineural hearing loss, and skeletal dysplasia	1	1	1
C0266357	persistent umbilical sinus	1	1	1
C3279664	emberger syndrome	1	1	1
C4024803	posterior retinal neovascularization	1	1	1
C1867005	scapuloperoneal syndrome, neurogenic, kaeser type	1	1	1
C3279662	leukotriene c4 synthase deficiency	1	1	1
C0751668	machado-joseph disease type i	1	1	1
C0751669	machado-joseph disease type ii	1	1	1
C1853223	deafness, autosomal recessive 67	1	1	1
C1868581	patella aplasia, coxa vara, tarsal synostosis	1	1	1
C1854685	retinal hypoplasia	1	1	1
C3493776	hypothyroidism, congenital, nongoitrous, 1	1	1	1
C4024188	curved distal phalanges of the hand	1	1	2
C2750472	cardiomyopathy, familial hypertrophic, 13	1	1	1
C2750475	focal segmental glomerulosclerosis 5	1	1	1
C1849507	uridine 5-prime monophosphate hydrolase deficiency, hemolytic anemia due to	1	1	1
C1510460	orofaciodigital syndrome i	1	1	1
C1849508	epilepsy, pyridoxine-dependent	1	1	1
C1854023	spinal muscular atrophy, jerash type	1	1	1
C4021652	anterior wedging of t11	1	1	1
C0018413	gynandroblastoma	1	1	1
C1863204	adult syndrome	1	1	1
C4021038	abnormal circulating renin	1	1	4
C0086652	mucopolysaccharidosis type ivb	1	1	1
C0086650	mps iii d	1	1	1
C0086651	mucopolysaccharidosis, mps-iv-a	1	1	1
C2931599	oculocutaneous albinism type 3	1	1	1
C1854154	charcot-marie-tooth disease, type 2b1	1	1	1
C1855648	kenny-caffey syndrome, type 1	1	1	1
C1855310	megaepiphyseal dwarfism	1	1	1
C1862871	anhidrosis, isolated, with normal sweat glands	1	1	1
C0265987	nevus comedonicus	1	1	1
C0265985	mongolian spot	1	1	1
C1864852	catshl syndrome	1	1	1
C1852373	mitochondrial encephalopathy	1	1	1
C2936904	opitz gbbb syndrome, x-linked	1	1	1
C1865322	migraine, familial hemiplegic, 2	1	1	1
C4023710	palmar hyperkeratosis	1	1	1
C0393702	myoclonic astatic epilepsy	1	1	2
C4023719	spontaneous rupture of the globe	1	1	1
C1455734	congenital hypoparathyroidism	1	1	1
C3809084	myofibromatosis, infantile, 2	1	1	1
C0085679	hyperchloremia	1	1	1
C0341059	lip pit	1	1	1
C3810363	bosch-boonstra-schaaf optic atrophy syndrome	1	1	1
C0266632	ectopic spleen	1	1	1
C1853942	citrullinemia, type ii, neonatal-onset	1	1	1
C1853761	spinocerebellar ataxia, autosomal recessive 1	1	1	1
C0751490	infantile sandhoff disease	1	1	1
C1535950	gastrointestinal inflammation	1	1	1
C1535953	stenosis of foramen magnum	1	1	1
C2677132	maturity-onset diabetes of the young, type 9 (disorder)	1	1	1
C4014534	ciliary dyskinesia, primary, 29	1	1	1
C4014531	epileptic encephalopathy, early infantile, 24	1	1	1
C4014538	helsmoortel-van der aa syndrome	1	1	1
C2717906	hereditary angioedema type i	1	1	1
C1970253	phosphoserine aminotransferase deficiency	1	1	1
C3553661	cerebellar ataxia, nonprogressive, with mental retardation	1	1	1
C2752042	congenital lipomatous overgrowth, vascular malformations, and epidermal nevi	1	1	1
C1833021	deafness, autosomal dominant 6	1	1	1
C1836050	filaminopathy, autosomal dominant	1	1	1
C0342738	beta-hydroxyisobutyryl coa deacylase deficiency	1	1	1
C0342739	trimethylaminuria	1	1	1
C0342731	deficiency of mevalonate kinase	1	1	1
C4024412	broad phalanges of the 5th finger	1	1	1
C0495499	congenital absence, atresia and stricture of auditory canal (external)	1	1	1
C4273726	congenital dysplasia of cardiac valve	1	1	1
C0432149	lumbar hemivertebra	1	1	1
C0271004	absent anterior chamber of eye	1	1	1
C1841679	hand foot uterus syndrome	1	1	1
C1855128	methylcobalamin deficiency, cblg type	1	1	1
C1851316	iron overload, autosomal dominant	1	1	1
C3279997	myopia 21, autosomal dominant	1	1	1
C3279992	paragangliomas 5	1	1	1
C2675186	leber congenital amaurosis 13	1	1	1
C2675187	microcephaly, primary autosomal recessive, 7 (disorder)	1	1	1
C0220743	childhood hypophosphatasia (disorder)	1	1	1
C1864761	thyroid hormone metabolism, abnormal	1	1	1
C0235527	heart failure, right-sided	1	1	1
C2931011	congenital disorder of glycosylation, type 2g	1	1	1
C2931010	congenital disorder of glycosylation type 2e	1	1	1
C0268113	familial juvenile gout	1	1	1
C0017551	gilbert disease (disorder)	1	1	1
C0268119	combined molybdoflavoprotein enzyme deficiency	1	1	1
C4014700	encephalopathy, progressive, with or without lipodystrophy	1	1	1
C2677586	spastic paraplegia 39, autosomal recessive	1	1	1
C4024719	adrenocortical hypoplasia	1	1	1
C1857253	dicarboxylicaminoaciduria	1	1	1
C0399373	amelogenesis imperfecta, hypomaturation hypoplasia type with taurodontism	1	1	1
C0399376	amelogenesis imperfecta, type iii	1	1	1
C1857780	joubert syndrome 5	1	1	1
C3554067	combined oxidative phosphorylation deficiency 11	1	1	1
C0392475	roberts-sc phocomelia syndrome	1	1	1
C0027832	neurofibromatosis 2	1	1	1
C3809470	epidermolysis bullosa simplex, autosomal recessive 2	1	1	1
C2931662	baraitser brett piesowicz syndrome	1	1	1
C2678061	scapuloperoneal myopathy, x-linked dominant	1	1	1
C4024821	diffuse nuclear cataract	1	1	1
C4023292	imperforate tricuspid valve	1	1	1
C1867020	scalp-ear-nipple syndrome	1	1	1
C3150191	coloboma, ocular, and ichthyosis, brain malformations, and endocrine abnormalities	1	1	1
C4025196	recurrent systemic pyogenic infections	1	1	1
C4025666	abnormality of the forearm	1	1	1
C4025660	abnormality of the ankles	1	1	3
C4025193	craniofacial osteosclerosis	1	1	2
C3281160	ehlers-danlos syndrome with progressive kyphoscoliosis, myopathy, and hearing loss	1	1	1
C1858968	autoimmune lymphoproliferative syndrome, type iia	1	1	1
C0580190	3-phosphoglycerate dehydrogenase deficiency	1	1	1
C1853205	glycosylphosphatidylinositol deficiency	1	1	1
C1853202	parkinson disease 13, autosomal dominant, susceptibility to	1	1	1
C0019021	hemoglobin c disease	1	1	1
C1860791	duodenal stenosis/atresia	1	1	1
C3150990	leukoencephalopathy with dystonia and motor neuropathy	1	1	1
C0282512	landau-kleffner syndrome	1	1	1
C3150998	spinocerebellar ataxia, autosomal recessive 10	1	1	1
C3809691	short-rib thoracic dysplasia 8 with or without polydactyly	1	1	1
C4015519	epileptic encephalopathy, early infantile, 28	1	1	1
C0036391	schwartz-jampel syndrome	1	1	1
C2930997	congenital disorder of glycosylation type 1c	1	1	1
C4013648	polymicrogyria, bilateral temporooccipital	1	1	1
C0521683	chorioretinal degeneration	1	1	3
C0272322	severe hereditary factor viii deficiency disease	1	1	1
C1861355	syndactyly, type iv	1	1	1
C0272324	mild hereditary factor viii deficiency disease	1	1	1
C3277701	vitiligo-associated multiple autoimmune disease susceptibility 6	1	1	1
C3179239	osteopetrosis autosomal dominant type 2	1	1	1
C1859565	bardet-biedl syndrome 7	1	1	1
C1859564	bardet-biedl syndrome 3	1	1	1
C1859568	bardet-biedl syndrome 10	1	1	1
C2751812	optic atrophy 7 (disorder)	1	1	1
C3280660	encephalopathy, lethal, due to defective mitochondrial and peroxisomal fission	1	1	1
C2675512	diamond-blackfan anemia 7	1	1	1
C4020902	abnormal urine alpha-ketoglutarate concentration	1	1	1
C3280785	ventricular septal defect 3	1	1	1
C4083048	spondylocostal dysostosis 5	1	1	2
C3553512	immunodeficiency, common variable, 8, with autoimmunity	1	1	1
C3553517	cornelia de lange syndrome 4	1	1	1
C0035615	right aortic arch (disorder)	1	1	1
C0339278	reis-bucklers' corneal dystrophy	1	1	1
C1837029	macular dystrophy, butterfly-shaped pigmentary, 2	1	1	1
C1837026	meacham syndrome (disorder)	1	1	1
C3554235	joubert syndrome 20	1	1	1
C4025717	abnormality of the small intestine	1	1	1
C1855663	kaufman oculocerebrofacial syndrome	1	1	1
C0016788	fucosidase deficiency disease	1	1	1
C1850168	bruck syndrome 1	1	1	1
C1850169	osteogenesis imperfecta, type ix (disorder)	1	1	1
C0432289	winchester syndrome (disorder)	1	1	1
C1848651	al awadi syndrome	1	1	1
C3810175	short-rib thoracic dysplasia 10 with or without polydactyly	1	1	1
C1838049	epilepsy, nocturnal frontal lobe, type 1	1	1	1
C3550963	hypothyroidism, central, and testicular enlargement	1	1	1
C0268342	ehlers-danlos syndrome type 6	1	1	1
C0268344	ehlers-danlos syndrome 6b	1	1	2
C0812437	oculo-dento-digital syndrome	1	1	1
C2936921	saccharopine dehydrogenase deficiency	1	1	1
C2745948	hyalinosis, systemic	1	1	1
C2752015	glycogen storage disease xiv	1	1	1
C0342278	diabetes mellitus, insulin-resistant, with acanthosis nigricans	1	1	1
C0342277	diabetes mellitus autosomal dominant type ii (disorder)	1	1	1
C0543514	glycogen storage disease ixb	1	1	1
C3553929	peroxisome biogenesis disorder 3a (zellweger)	1	1	1
C1449842	pseudohypoaldosteronism, type i, autosomal dominant	1	1	1
C0023817	hyperlipoproteinemia type i	1	1	2
C0265706	gastroschisis	1	1	2
C0221023	cyclic neutropenia	1	1	1
C0221757	alpha 1-antitrypsin deficiency	1	1	1
C0221026	x-linked agammaglobulinemia	1	1	1
C0702139	congenital absence of external ear	1	1	1
C0221759	brachial plexus neuritis	1	1	1
C4014516	diarrhea 7	1	1	1
C0280089	carcinoid tumor of lung	1	1	1
C4082144	metatarsal valgus	1	1	1
C4024106	cone-shaped epiphysis of the 1st metacarpal	1	1	1
C4225284	dyskeratosis congenita, autosomal dominant 6	1	1	1
C4225285	klippel-feil syndrome 4, autosomal recessive, with nemaline myopathy and facial dysmorphism	1	1	1
C4225280	noonan syndrome 10	1	1	1
C4225281	retinitis pigmentosa 74	1	1	1
C4225282	noonan syndrome 9	1	1	1
C4225288	short stature, microcephaly, and endocrine dysfunction	1	1	1
C4274078	hyperinsulinism due to hnf4a deficiency	1	1	1
C3539071	nephronophthisis 14	1	1	1
C4274077	autosomal recessive sideroblastic anemia	1	1	1
C1567427	bilateral multicystic dysplastic kidneys	1	1	1
C1832334	charcot-marie-tooth disease, type 4d	1	1	1
C2676244	leukodystrophy, hypomyelinating, 6	1	1	1
C2750805	chromosome 5p13 duplication syndrome	1	1	1
C2750804	cutis laxa with severe pulmonary, gastrointestinal, and urinary abnormalities	1	1	1
C4025276	congenital lactic acidosis	1	1	1
C4025275	generalized distal tubular acidosis	1	1	1
C0272137	tn syndrome	1	1	1
C1836522	schindler disease, type ii	1	1	1
C1836032	immunoglobulin a deficiency 2	1	1	1
C1835916	aicardi-goutieres syndrome 3	1	1	1
C3150619	neuronopathy, distal hereditary motor, type iic	1	1	1
C3150617	maturity-onset diabetes of the young, type 10	1	1	1
C0238159	hemoglobin e disease	1	1	1
C1858160	craniosynostosis, type 2	1	1	1
C4025264	recurrent cerebral hemorrhage	1	1	1
C0267988	hyperproteinemia	1	1	1
C0002875	cooley's anemia	1	1	1
C0039373	tay-sachs disease	1	1	1
C2931384	moyamoya disease 1	1	1	1
C1283400	butyrylcholinesterase deficiency	1	1	1
C3280042	retinitis pigmentosa 62	1	1	1
C1860819	metopic synostosis	1	1	1
C3501848	nephrosis, congenital	1	1	1
C0268138	xeroderma pigmentosum, complementation group d	1	1	1
C2677613	chromosome 15q13.3 microdeletion syndrome	1	1	1
C0268135	xeroderma pigmentosum, group a	1	1	1
C0268136	xeroderma pigmentosum, group b	1	1	1
C0268130	hereditary orotic aciduria, type 1	1	1	1
C4014722	sting-associated vasculopathy, infantile-onset	1	1	1
C1840528	holoprosencephaly 4 (disorder)	1	1	1
C3277076	bernard-soulier syndrome, type a2, autosomal dominant	1	1	1
C0031106	periodontitis, juvenile	1	1	1
C0268532	deficiency of prolidase	1	1	1
C0271972	thiamine-responsive megaloblastic anemia	1	1	1
C0410530	metachondromatosis	1	1	1
C3151227	retinitis pigmentosa 59	1	1	1
C1866555	tympanic nerve tumors (glomus tympanicum)	1	1	1
C0410538	pseudoachondroplasia	1	1	1
C3151228	retinitis pigmentosa 38 (disorder)	1	1	1
C1838258	osteopetrosis and infantile neuroaxonal dystrophy	1	1	1
C0265559	acheiropodia	1	1	1
C1864663	hypomyelination and congenital cataract	1	1	1
C3810023	verheij syndrome	1	1	1
C1832525	limb-girdle muscular dystrophy type 2f	1	1	1
C3809001	cataract 15, multiple types	1	1	1
C1843181	noonan syndrome-like disorder with loose anagen hair	1	1	1
C3809327	spinocerebellar ataxia, autosomal recessive 14	1	1	1
C4024733	abnormality of the fifth metatarsal bone	1	1	1
C4024732	ankylosis of feet small joints	1	1	1
C2677877	surfactant metabolism dysfunction, pulmonary, 4	1	1	1
C4025467	deformed radius	1	1	1
C4225335	basal ganglia calcification, idiopathic, 6	1	1	1
C2678046	mental retardation, x-linked, syndromic, turner type	1	1	1
C0041207	truncus arteriosus, persistent	1	1	3
C2678048	spinocerebellar ataxia, x-linked 5	1	1	1
C4024844	generalized seborrheic dermatitis	1	1	1
C4275067	transthyretin related familial amyloid cardiomyopathy	1	1	1
C1279481	x-linked combined immunodeficiency diseases	1	1	1
C3276096	atrial septal defect 7 with or without atrioventricular conduction defects	1	1	1
C1845543	mental retardation, x-linked, with epilepsy	1	1	1
C1845540	autism, x-linked, susceptibility to, 1 (finding)	1	1	1
C1845546	fg syndrome 4 (disorder)	1	1	1
C4014987	ectodermal dysplasia/short stature syndrome	1	1	1
C1969645	ataxia, spastic, 3, autosomal recessive	1	1	1
C0342727	3-@methylglutaconic aciduria, type i	1	1	1
C4025648	abnormal peripheral myelination	1	1	2
C4020699	congenital dermal melanocytosis	1	1	1
C4020697	giant cell hepatitis on liver biopsy	1	1	2
C1854063	cardiomyopathy dilated with woolly hair and keratoderma	1	1	1
C4021610	bilateral lung agenesis	1	1	1
C4021618	polysyndactyly of hallux	1	1	1
C1264040	von willebrand disease, type 2	1	1	1
C1264041	von willebrand disease, type 3	1	1	1
C2751293	hemophagocytic lymphohistiocytosis, familial, 5	1	1	1
C2751292	hypotrichosis and recurrent skin vesicles	1	1	1
C2751295	melanoma, cutaneous malignant, susceptibility to, 5	1	1	1
C2751830	long qt syndrome 12	1	1	1
